x,y
0,600
0.1,517
31.10516731,517
62.21033463,517
93.31550194,518
124.4206693,518
155.5258366,515
186.6310039,515
217.7361712,517
248.8413385,516
279.9465058,513
311.0516731,513
342.1568404,513
373.2620078,513
404.3671751,513
435.4723424,517
466.5775097,515
497.682677,513
528.7878443,512
559.8930116,512
590.9981789,511
622.1033463,508
653.2085136,506
684.3136809,506
715.4188482,506
746.5240155,507
777.6291828,506
808.7343501,503
839.8395174,498
870.9446848,496
880.32631,486.1454
892.19291,485.54744
906.23444,485.67883
930.65446,484.93431
950.19047,486.42336
969.42125,487.85097
979.64713,489.31402
989.4321,490.93044
1005.13557,493.21168
1021.61907,495.22628
1039.32355,496.40876
1073.51162,497.85401
1337.522194,495
1368.627362,495
1399.732529,495
1430.837696,494
1461.942864,495
1493.048031,498
1524.153198,498
1555.258366,499
1586.363533,501
1617.4687,503
1648.573868,504
1679.679035,504
1710.784202,504
1741.88937,502
1772.994537,502
1804.099704,503
1835.204871,505
1866.310039,506
1897.415206,507
1928.520373,507
1959.625541,507
1990.730708,509
2021.835875,510
2052.941043,511
2084.04621,511
2115.151377,512
2146.256545,513
2177.361712,511
2208.466879,509
2239.572047,508
2270.677214,509
2270.8,600
