x,y
0,492
104.7325277,488
139.6433703,486
174.5542129,485
209.4650554,485
244.375898,484
279.2867406,484
314.1975832,485
349.1084257,484
384.0192683,484
418.9301109,484
453.8409535,484
488.751796,484
523.6626386,484
558.5734812,483
593.4843238,483
628.3951663,484
663.3060089,484
698.2168515,483
733.127694,484
768.0385366,485
802.9493792,485
837.8602218,484
872.7710643,482.85915
923.1911843,481.73239
967.3088743,482.40845
1074.451784,480.04225
1143.779414,479.02817
1206.804624,477.11268
1263.527404,478.23944
1301.342434,479.47887
1383.275154,476.26761
1433.695274,476.5493
1509.325574,474.35211
1635.375994,477.78873
1742.518894,475.25352
1780.333924,476.38028
1824.451624,475.42254
1893.779494,472.43662
2007.224824,471.42253
2057.644944,473.11268
2108.065064,475.64789
2177.392934,473.11268
2253.022994,475.76056
2297.140684,472.94366
2353.863474,475.19718
2404.283584,478.91549
2473.611224,475.92958
2536.636674,471.87324
2587.056554,472.32394
2593.359454,470.91549
2763.527324,469.61972
2763.527324,470.46479
2921.090344,470.07042
2965.207804,475.08451
3003.023314,475.64789
3015.628164,474.29578
3047.140764,475.14085
3097.561124,473.4507
3103.863554,475.59155
3135.376154,474.23944
3147.981004,475.8169
3198.401364,473.95775
3248.821244,475.53521
3286.636754,472.32394
3318.149354,475.3662
3349.661964,472.60563
3412.687164,477.11268
3450.502194,475.64789
3469.409474,472.88732
3507.224984,470.97183
3563.947284,471.08451
3589.157464,474.01409
3633.275404,473.22535
3664.788004,477.78873
3696.300604,478.6338
3746.720484,476.49296
3809.745694,478.91549
3879.073324,472.83099
3948.401444,472.60563
4068.148954,473.16901
4326.552694,472.60563
4370.670144,471.53521
4490.418144,472.32394
4641.678734,472.60563
4647.981164,469.39437
4685.796194,468.71831
4748.821404,468.94366
4767.729154,466.69014
4811.846614,467.42254
4881.174244,466.07042
4956.804784,465.28169
5158.485254,465.11268
5246.720644,472.26761
5442.098694,472.71831
5536.636514,473
5662.686924,473
5769.829594,475.8169
6003.023154,475.76056
6362.266644,475.59155
6437.897184,474.52113
6576.552934,474.69014
6689.997544,476.38028
6828.653774,479.25352
7074.451704,483.02817
7086.901042,482
7121.811885,483
7156.722728,483
7191.63357,484
7226.544413,484
7261.455255,483
7296.366098,483
7331.27694,482
7366.187783,482
7401.098626,483
7436.009468,484
7470.920311,482
7505.831153,482
7540.741996,482
7575.652839,482
7610.563681,483
7645.474524,483
7680.385366,483
7715.296209,483
7750.207051,483
7785.117894,483
7820.028737,485
7854.939579,486
7889.850422,484
7924.761264,484
7959.672107,485
7994.582949,485
8029.493792,484
8064.404635,483
8099.315477,482
8134.22632,483
8169.137162,484
8204.048005,487
8238.958847,488
8273.86969,486
8308.780533,484
8343.691375,483
8378.602218,485
8413.51306,484
8448.423903,484
8483.334745,485
8518.245588,486
8553.156431,485
8588.067273,484
8622.978116,483
8657.888958,482
8692.799801,483
8727.710643,484
8762.621486,484
8797.532329,485
8832.443171,484
8867.354014,484
8902.264856,486
8937.175699,487
8972.086541,487
9006.997384,487
9041.908227,486
9076.819069,486
9111.729912,489
9146.640754,489
9181.551597,488
9216.462439,488
9251.373282,489
9286.284125,487
9321.194967,487
9356.10581,488
9391.016652,488
9425.927495,487
9460.838337,490
9495.74918,490
9530.660023,489
9565.570865,490
9600.481708,490
9635.39255,489
9670.303393,487
9705.214236,487
9740.125078,490
9775.035921,491
9809.946763,489
9844.857606,490
9879.768448,491
9914.679291,490
9949.590134,489
9984.500976,490
10019.41182,491
10054.32266,491
10089.2335,489
10124.14435,488
10159.05519,489
10193.96603,490
10228.87687,491
10263.78772,490
10298.69856,490
10333.6094,492
