x,y
0,494
20.13994,481.91943
60.41962,479.83412
125.87412,477.891
181.25885,475.14218
191.32881,473.67299
302.09789,473.05687
412.86715,472.75939
548.81124,472.44076
748.00699,472.72975
931.34864,472.77915
1117.76222,472.95696
1404.75521,473.11502
1757.20297,472.91469
2184.89503,473.34553
2464.61529,473.64848
2809.5103,474.19431
3106.5733,474.95261
3368.3917,475.75829
3589.92984,476.80095
3615.10466,471.68247
3735.9439,471.63507
3937.34249,470.45024
4108.53136,470.45024
4138.74108,475.14218
4279.72024,475.56872
4546.57353,474.85782
4591.88791,477.51185
4617.06273,481.91943
4742.93685,482.06161
4773.14694,477.1327
4833.56637,474.95261
4883.91602,477.18009
4909.09084,481.25592
4950,494
