chainage,width,bed
0,258,495
998.3739837,258,494.6266119
1996.747967,266.9211697,494.2532237
2995.121951,275.8568926,493.8798356
3993.495935,284.7926156,493.5064475
4991.869919,293.7283385,493.1330593
5990.243902,302.6640614,492.7596712
6988.617886,311.5997844,492.386283
7986.99187,320.5355073,492.0128949
8985.365854,329.4712303,491.6395068
9983.739837,338.4069532,491.2661186
10982.11382,268.3992997,490.8927305
11980.4878,192.7798841,490.5193424
12978.86179,271.5802061,490.1459542
13977.23577,299.5998381,489.7725661
14975.60976,241.4462114,489.399178
15973.98374,402.2856054,489.0257898
16972.35772,563.1249994,488.6524017
17970.73171,723.9643934,488.2790136
18969.10569,827.9838393,486.9945475
19967.47967,916.7521525,485.4655376
20965.85366,1004.173624,483.9365276
21964.22764,863.2306664,482.4075177
22962.60163,722.2877085,480.8785078
23960.97561,591.7675971,479.3943597
24959.34959,766.3881418,479.2235924
25957.72358,941.0086865,479.0528251
26956.09756,1082.817262,478.8820578
27954.47154,1014.95662,478.7112904
28952.84553,947.0959785,478.5405231
29951.21951,892.0028853,478.3697558
30949.5935,882.8238416,478.1989885
31947.96748,873.6447979,478.0282212
32946.34146,864.4657542,477.8574539
33944.71545,832.1672796,477.6866866
34943.08943,798.6329947,477.5159193
35941.46341,766.4390244,477.345152
36939.8374,739.4175063,477.1743847
37938.21138,712.3959882,477.0036174
38936.58537,746.8287697,476.7684976
39934.95935,876.0901373,476.434077
40933.33333,1005.351505,476.0996564
41931.70732,1001.098716,475.7652359
42930.0813,835.9158489,475.4308153
43928.45528,670.7329813,475.0963948
44926.82927,625.0642266,474.7619742
45925.20325,629.4107978,474.4275537
46923.57724,633.7573691,474.0931331
47921.95122,716.6374633,473.7587126
48920.3252,830.9576542,473.424292
49918.69919,945.2778451,473.0898714
50917.07317,1157.973462,473.32643
51915.44715,1406.821903,473.7728225
52913.82114,1768.865284,474.219215
53912.19512,2141.065072,474.6656074
54910.56911,2357.505731,475.1119999
55908.94309,2548.555089,475.5583924
56907.31707,2397.300947,476.0047849
57905.69106,2246.046805,476.4511774
58904.06504,1930.290963,476.8975699
59902.43902,1656.629785,477.3439624
60900.81301,1705.31896,477.7903549
61899.18699,1741.17173,478.1854579
62897.56098,1633.929512,478.0088067
63895.93496,1550.030143,477.8321554
64894.30894,1630.829252,477.6555042
65892.68293,1710.287237,477.4788529
66891.05691,1781.767617,477.3022017
67889.43089,1856.239947,477.1255504
68887.80488,2099.087673,476.9488992
69886.17886,2341.935399,476.7722479
70884.55285,2370.465023,476.5955967
71882.92683,2394.429833,476.4189454
72881.30081,2754.816763,476.5159642
73879.6748,2878.305204,476.6458593
74878.04878,2741.170366,476.7757545
75876.42276,2634.409737,476.8972312
76874.79675,3195.637178,476.833571
77873.17073,3560.688211,476.7699108
78871.54472,3706.233166,476.7062506
79869.9187,3851.778121,476.6425904
80868.29268,3997.323076,476.5789301
81866.66667,4142.868032,476.5152699
82865.04065,4288.412987,476.4516097
83863.41463,4433.957942,476.3879495
84861.78862,4579.502897,476.3242893
85860.1626,4725.047852,476.2606291
86858.53659,4870.592807,476.1899526
87856.91057,5016.137762,475.9789357
88855.28455,5161.682717,475.7679187
89853.65854,5307.227673,475.5569018
90852.03252,5452.772628,475.3458848
91850.4065,5598.317583,475.1348678
92848.78049,5743.862538,474.9238509
93847.15447,5889.407493,474.7128339
94845.52846,6034.952448,474.5388912
95843.90244,6180.497403,474.407555
96842.27642,6326.042358,474.2762188
97840.65041,6471.587313,474.1448826
98839.02439,6617.132269,474.0135465
99837.39837,6762.677224,474.1431329
100835.7724,6908.222179,474.3027268
101834.1463,7053.767134,474.4623207
102832.5203,7199.312089,474.6219146
103830.8943,7344.857044,474.7815086
104829.2683,7490.401999,474.9411025
105827.6423,7635.946954,475.1006964
106826.0163,7781.491909,475.2602903
107824.3902,7927.036865,475.4643842
108822.7642,8072.58182,475.9811409
109821.1382,8218.126775,476.1838046
110819.5122,8363.67173,475.0426082
111817.8862,8509.216685,473.9014117
112816.2602,8654.76164,473.1
113814.6341,8800.306595,473.1
114813.0081,8945.85155,473.1
115811.3821,9091.396505,473.3224286
116809.7561,9236.941461,474.5603832
117808.1301,9382.486416,476.4022489
118806.5041,9528.031371,475.3514345
119804.878,9673.576326,474.4317754
120803.252,9819.121281,472.6465879
121801.626,9964.666236,470.7336135
122800,10000,470.5
