chainage,width
0,250
10732,380.0
18182,758
20960,1005
23928,586
26821,1092
29734,894
32997,864
35736,772
38544,696
41479,1076
44223,622
47209,635
50187,976
52197,1477
53732,2102
55840,2559
57906,2246
59787,1651
61817,1750
63772,1540
65749,1700
67872,1852
69907,2347
71990,2397
73365,2949
75833,2610
77402,3492
79930,2152
82575,2209
85068,2660
86811,3105
90065,5252
92275,4861
94381,5819
96570,5240
98942,8279
101337,5360
104440,7443
106183,7035
107700,6559
109632,5876
110564,6294
111506,6982
112519,6325
114633,9539
115632,9084
117003,7073
118209,8118
119211,7145
119927,6034
120912,4630
121629,2465
121867,1475
122044,893
